,algo,env_id,seed,episode_index,episodic_return,episode_length,max_episode_steps,duration_rate,weights
289,sac,Pusher-v5,3,89,-34.66683438915513,100,100,1.0,ga2
290,sac,Pusher-v5,3,90,-34.13198941325102,100,100,1.0,ga2
291,sac,Pusher-v5,3,91,-32.81171790119988,100,100,1.0,ga2
292,sac,Pusher-v5,3,92,-29.904391479740067,100,100,1.0,ga2
293,sac,Pusher-v5,3,93,-37.42913646364547,100,100,1.0,ga2
294,sac,Pusher-v5,3,94,-33.36679980647452,100,100,1.0,ga2
295,sac,Pusher-v5,3,95,-41.0177527074242,100,100,1.0,ga2
296,sac,Pusher-v5,3,96,-31.77539150340449,100,100,1.0,ga2
297,sac,Pusher-v5,3,97,-48.66507025932279,100,100,1.0,ga2
298,sac,Pusher-v5,3,98,-34.667219364576994,100,100,1.0,ga2
299,sac,Pusher-v5,3,99,-36.374737593380615,100,100,1.0,ga2
300,sac,Pusher-v5,4,0,-30.53708580559846,100,100,1.0,ga2
301,sac,Pusher-v5,4,1,-41.23443416662267,100,100,1.0,ga2
302,sac,Pusher-v5,4,2,-31.8791258393202,100,100,1.0,ga2
303,sac,Pusher-v5,4,3,-36.14852559046778,100,100,1.0,ga2
304,sac,Pusher-v5,4,4,-32.98396342468799,100,100,1.0,ga2
305,sac,Pusher-v5,4,5,-30.450297719362464,100,100,1.0,ga2
306,sac,Pusher-v5,4,6,-35.085452342280206,100,100,1.0,ga2
307,sac,Pusher-v5,4,7,-35.35304216668493,100,100,1.0,ga2
308,sac,Pusher-v5,4,8,-33.154896993463936,100,100,1.0,ga2
309,sac,Pusher-v5,4,9,-37.818204613055805,100,100,1.0,ga2
310,sac,Pusher-v5,4,10,-35.261819785523535,100,100,1.0,ga2
311,sac,Pusher-v5,4,11,-40.19865697845008,100,100,1.0,ga2
312,sac,Pusher-v5,4,12,-39.16075487564114,100,100,1.0,ga2
313,sac,Pusher-v5,4,13,-34.5796267877443,100,100,1.0,ga2
314,sac,Pusher-v5,4,14,-29.134122755109665,100,100,1.0,ga2
315,sac,Pusher-v5,4,15,-32.62000436165661,100,100,1.0,ga2
316,sac,Pusher-v5,4,16,-32.35446468180982,100,100,1.0,ga2
317,sac,Pusher-v5,4,17,-34.52974126812024,100,100,1.0,ga2
318,sac,Pusher-v5,4,18,-36.268833033769184,100,100,1.0,ga2
319,sac,Pusher-v5,4,19,-42.97806798373878,100,100,1.0,ga2
320,sac,Pusher-v5,4,20,-32.033664438805125,100,100,1.0,ga2
321,sac,Pusher-v5,4,21,-46.01242037934944,100,100,1.0,ga2
322,sac,Pusher-v5,4,22,-32.893550775601014,100,100,1.0,ga2
323,sac,Pusher-v5,4,23,-38.61997726626696,100,100,1.0,ga2
324,sac,Pusher-v5,4,24,-36.46732755377702,100,100,1.0,ga2
325,sac,Pusher-v5,4,25,-39.53729885749296,100,100,1.0,ga2
326,sac,Pusher-v5,4,26,-33.88155636895173,100,100,1.0,ga2
